Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
PPMI_4125.sorted_meth.bam	21805797	75.20	358.89	115.78	215.46	29318	18112	12528.00	16458	98.64	95.43	18.66	13.4
PPMI_3191.sorted_meth.bam	9193197	78.16	105.72	34.10	20.84	15314	10760	10311.00	11499	99.18	96.47	20.86	14.52
PPMI_3752.sorted_meth.bam	8127302	76.84	124.70	40.23	66.35	26459	15936	11672.00	15343	99.34	96.74	21.8	14.87
PPMI_52146.sorted_meth.bam	14823108	74.90	255.26	82.34	159.67	30798	18932	12942.00	17220	99.01	96.44	20.04	14.49
PPMI_42448.sorted_meth.bam	89136120	83.23	163.21	52.65	0.55	4097	1784	806.00	1830	98.71	96.68	18.89	14.79
PPMI_4111.sorted_meth.bam	19309468	76.85	342.95	110.63	219.58	31333	19579	13755.00	17760	98.43	95.19	18.04	13.18
PPMI_3332.sorted_meth.bam	5997185	76.98	107.60	34.71	68.83	31278	19476	13972.00	17942	98.45	94.64	18.1	12.71
PPMI_56558.sorted_meth.bam	8657632	76.12	148.52	47.91	91.77	29498	19204	13895.00	17154	98.97	96.04	19.87	14.02
PPMI_3572.sorted_meth.bam	6960547	78.84	116.47	37.57	75.18	30385	20351	13031.00	16733	99.19	96.51	20.92	14.57
PPMI_4023.sorted_meth.bam	6887781	78.40	119.52	38.56	73.30	30692	18103	12828.00	17352	98.77	95.51	19.1	13.48
PPMI_3371.sorted_meth.bam	2158103	75.15	33.21	10.71	19.71	29914	17242	10230.00	15388	98.57	95.31	18.45	13.29
PPMI_3904.sorted_meth.bam	8009845	76.56	132.05	42.60	82.65	30992	18713	11578.00	16485	98.76	95.36	19.07	13.33
PPMI_4067.sorted_meth.bam	15068677	77.39	230.87	74.48	122.84	26586	15470	11579.00	15321	99.30	96.84	21.55	15.0
PPMI_3473.sorted_meth.bam	10420548	77.59	172.88	55.77	110.49	31652	18956	11512.00	16590	99.00	96.13	20.0	14.12
PPMI_4037.sorted_meth.bam	10232284	77.83	156.83	50.59	78.25	24969	16411	13084.00	15327	98.83	95.72	19.32	13.69
PPMI_3233.sorted_meth.bam	8404720	76.87	150.75	48.63	96.78	30222	20192	14836.00	17936	98.75	95.15	19.03	13.14
PPMI_3616.sorted_meth.bam	13146951	70.93	201.98	65.16	124.21	30274	18488	10335.00	15363	98.72	95.61	18.93	13.58
PPMI_3824.sorted_meth.bam	7774869	79.11	118.14	38.11	71.20	29327	18268	10597.00	15194	99.07	96.42	20.32	14.46
PPMI_3213.sorted_meth.bam	7579352	77.84	119.34	38.50	70.92	28903	17822	11611.00	15744	99.34	96.94	21.8	15.14
PPMI_3558.sorted_meth.bam	6513441	75.92	139.90	45.13	105.10	37051	25077	17729.00	21478	98.52	94.44	18.3	12.55
